Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
1,1,Connecticut,BE,31,3,+32.21,126.6,1,94.4,11,64.5,329,+.047,70,+10.46,34,111.6,41,101.2,30,-3.36,285
2,1,Houston,B12,30,4,+31.72,118.9,17,87.1,2,63.3,348,+.053,61,+11.75,14,111.9,36,100.1,6,-0.79,225
3,1,Purdue,B10,29,4,+29.12,125.0,4,95.9,21,67.4,175,+.045,75,+13.74,4,114.0,5,100.3,10,+10.35,13
4,4,Auburn,SEC,27,7,+28.90,120.6,10,91.7,4,69.8,58,-.067,324,+9.60,53,111.9,35,102.3,71,+1.45,152
5,2,Iowa St.,B12,27,7,+26.72,113.9,55,87.1,1,67.3,179,+.012,155,+10.38,37,111.0,58,100.6,15,-7.20,351
6,2,Arizona,P12,25,8,+26.62,121.1,8,94.5,12,71.8,16,-.043,288,+10.79,26,111.9,34,101.1,26,+10.43,10
7,2,Tennessee,SEC,24,8,+25.97,117.0,29,91.0,3,69.2,79,-.030,265,+12.63,8,114.3,2,101.7,51,+8.50,21
8,4,Duke,ACC,24,8,+24.88,121.8,7,97.0,26,66.7,231,-.077,333,+8.55,75,110.6,72,102.0,63,+0.13,199
9,1,North Carolina,ACC,27,7,+24.65,117.8,24,93.2,6,70.4,41,-.024,249,+11.24,21,112.4,21,101.2,32,+7.07,36
10,3,Illinois,B10,26,8,+23.99,125.6,3,101.6,93,69.9,56,-.032,270,+11.08,24,111.6,43,100.5,12,-2.25,261
11,3,Creighton,BE,23,9,+23.40,120.1,12,96.7,24,67.0,207,-.013,220,+11.14,23,112.1,29,101.0,25,+5.13,69
12,2,Marquette,BE,25,9,+22.74,118.3,21,95.6,19,69.0,91,+.036,98,+13.13,7,113.3,6,100.2,8,+8.27,23
13,4,Alabama,SEC,21,11,+22.48,125.6,2,103.1,112,72.6,9,-.028,261,+13.67,6,114.5,1,100.8,18,+9.15,18
14,3,Baylor,B12,23,10,+22.30,122.5,6,100.2,64,65.6,281,-.004,196,+14.07,1,112.8,12,98.7,1,+3.16,101
15,5,Gonzaga,WCC,25,7,+21.56,121.0,9,99.4,46,69.1,83,-.052,301,+3.38,105,108.4,100,105.0,126,+7.50,27
16,6,BYU,B12,23,10,+21.01,120.5,11,99.5,48,69.1,85,-.034,274,+9.64,52,110.5,74,100.8,22,-5.50,327
17,5,Wisconsin,B10,22,13,+20.60,120.1,13,99.5,47,65.2,307,-.031,266,+14.00,3,113.3,7,99.3,3,+6.22,47
18,9,Michigan St.,B10,19,14,+20.03,113.8,57,93.7,8,65.2,305,-.104,355,+12.30,12,114.1,4,101.8,59,+4.49,77
19,3,Kentucky,SEC,23,9,+20.02,122.7,5,102.7,108,72.6,11,-.027,257,+9.11,66,111.3,48,102.2,70,-0.19,205
20,5,Saint Mary's,WCC,26,7,+19.89,114.9,45,95.0,16,61.9,358,+.020,133,+3.06,108,108.3,105,105.2,133,+5.38,60
21,5,San Diego St.,MWC,24,10,+19.70,113.5,62,93.8,9,66.0,266,-.032,268,+11.03,25,112.7,16,101.7,47,+10.70,9
22,4,Kansas,B12,22,10,+19.23,113.4,65,94.2,10,68.9,92,+.048,69,+13.73,5,112.9,11,99.1,2,+5.23,64
23,11,New Mexico,MWC,26,9,+18.94,115.4,41,96.5,23,72.7,8,-.021,244,+6.84,85,110.2,82,103.3,87,-0.38,212
24,6,Texas Tech,B12,23,10,+18.54,117.9,23,99.4,45,66.6,234,+.040,89,+10.53,31,111.3,49,100.8,17,-2.37,263
25,N/A,St. John's,BE,20,13,+18.50,118.4,20,99.9,56,69.2,78,-.068,326,+10.59,30,112.3,24,101.7,54,+1.64,145
26,10,Colorado,P12,24,10,+18.47,117.6,25,99.1,42,67.5,165,+.012,156,+8.13,76,110.3,80,102.1,69,-1.50,245
27,7,Texas,B12,20,12,+18.40,118.5,19,100.1,61,67.2,196,-.034,273,+10.49,32,111.2,55,100.7,16,-2.96,277
28,8,Nebraska,B10,23,10,+18.19,115.9,36,97.7,30,68.6,103,+.014,150,+9.09,68,110.8,64,101.7,56,-5.24,322
29,7,Florida,SEC,24,11,+18.19,119.3,14,101.1,83,71.7,18,-.007,202,+10.72,29,112.3,26,101.5,45,+2.05,132
30,8,Mississippi St.,SEC,21,13,+17.98,113.7,60,95.7,20,67.1,202,-.044,290,+11.15,22,112.6,18,101.4,39,+0.70,173
31,N/A,Wake Forest,ACC,20,13,+17.79,117.6,26,99.8,55,68.1,133,-.098,354,+8.60,74,110.0,85,101.4,40,-1.81,252
32,7,Dayton,A10,24,7,+17.30,118.6,18,101.3,87,64.2,337,+.003,169,+5.94,88,108.7,98,102.7,76,+7.00,38
33,9,TCU,B12,21,12,+17.29,115.1,44,97.8,31,69.7,63,-.049,298,+9.83,46,110.6,68,100.8,19,-8.40,357
