Team 1 Rank,Team 1 Tournament Rank,Team 1 Team Name,Team 1 Conference,Team 1 Wins,Team 1 Losses,Team 1 AdjEM,Team 1 AdjO,Team 1 AdjO Rank,Team 1 AdjD,Team 1 AdjD Rank,Team 1 AdjT,Team 1 AdjT Rank,Team 1 Luck,Team 1 Luck Rank,Team 1 SS AdjEM,Team 1 SS AdjEM Rank,Team 1 SS OppO,Team 1 SS OppO Rank,Team 1 SS OppD,Team 1 SS OppD Rank,Team 1 NCSOS AdjEM,Team 1 NCSOS AdjEM Rank,Team 1 Year,Team 1 ID,Team 1 Score,Team 2 Rank,Team 2 Tournament Rank,Team 2 Team Name,Team 2 Conference,Team 2 Wins,Team 2 Losses,Team 2 AdjEM,Team 2 AdjO,Team 2 AdjO Rank,Team 2 AdjD,Team 2 AdjD Rank,Team 2 AdjT,Team 2 AdjT Rank,Team 2 Luck,Team 2 Luck Rank,Team 2 SS AdjEM,Team 2 SS AdjEM Rank,Team 2 SS OppO,Team 2 SS OppO Rank,Team 2 SS OppD,Team 2 SS OppD Rank,Team 2 NCSOS AdjEM,Team 2 NCSOS AdjEM Rank,Team 2 Year,Team 2 ID,Team 2 Score
55,11,Drake,MVC,26,5,14.27,112.5,33,98.2,101,66.3,271,0.102,17,3.98,137,104.1,155,100.1,137,-8.21,309,2021,1179,53,68,11,Wichita St.,Amer,16,6,12.3,109.5,61,97.2,84,67,234,0.089,23,10.47,81,106.4,96,96,57,13.71,30,2021,1455,52
210,16,Norfolk St.,MEAC,17,8,-4.47,99.1,234,103.6,199,67.5,211,0.09,21,-7.09,322,98.1,318,105.2,310,-0.76,231,2021,1313,54,212,16,Appalachian St.,SB,17,12,-4.71,98.4,245,103.1,191,65.5,310,0.039,86,-2.83,243,100.4,254,103.3,231,5.52,129,2021,1111,53
208,16,Texas Southern,SWAC,17,9,-4.37,99.8,221,104.2,212,71.5,45,0.059,54,-7.73,331,95.5,341,103.2,230,14.62,27,2021,1411,60,237,16,Mount St. Mary's,NEC,12,11,-6.62,94.5,301,101.1,150,61.6,356,-0.004,191,-6.45,317,99.4,285,105.9,329,11.14,53,2021,1291,52
13,11,UCLA,P12,22,10,22.43,116.9,11,94.5,46,63.8,341,0.028,110,17.38,11,111.3,14,93.9,6,9.87,66,2021,1417,86,64,11,Michigan St.,B10,15,13,12.9,107.1,98,94.2,45,68.3,164,0.09,22,17.72,10,112.5,2,94.8,26,-1.03,234,2021,1277,80
18,3,Arkansas,SEC,25,7,21.56,111.1,43,89.6,10,72.6,19,0.064,51,12.69,63,109.4,49,96.7,73,-4.09,272,2021,1116,85,89,14,Colgate,Pat,14,2,9.25,110.3,53,101,148,72.2,26,0.048,74,-5.8,305,99.6,282,105.4,316,-99,331,2021,1159,68
2,1,Baylor,B12,28,2,33.87,125,2,91.1,22,67.4,213,0.046,80,13.25,54,108.7,64,95.5,44,-2.83,258,2021,1124,79,194,16,Hartford,AE,15,9,-2.98,97,271,100,127,66.9,243,0.081,30,-5.09,291,99.2,289,104.3,275,-0.17,217,2021,1216,55
41,7,Florida,SEC,15,10,16.95,111,44,94.1,41,68.3,167,-0.004,188,14.72,36,109.9,36,95.2,35,8.88,76,2021,1196,75,52,10,Virginia Tech,ACC,15,7,14.44,109.7,59,95.3,53,65.7,298,0.043,82,9.69,85,107.9,72,98.2,106,0.63,207,2021,1439,70
5,2,Houston,Amer,28,4,28.75,118.3,7,89.6,9,64.4,332,0.018,133,9.21,90,105.7,105,96.5,67,2.11,187,2021,1222,87,169,15,Cleveland St.,Horz,19,8,-0.13,100.6,206,100.7,138,66.1,279,0.199,1,-0.83,202,105.1,122,106,335,20.35,9,2021,1156,56
4,1,Illinois,B10,24,7,29.06,118,8,88.9,7,70.5,79,0.022,128,18.17,5,112.3,5,94.1,13,10.44,59,2021,1228,78,158,16,Drexel,CAA,12,8,0.67,106.5,104,105.8,248,63.9,340,0.007,158,-2.28,227,101.2,229,103.5,241,-5.75,295,2021,1180,49
10,8,Loyola Chicago,MVC,26,5,24.32,111.3,41,87,2,63.7,342,-0.024,233,6.27,112,105.6,110,99.4,123,4.81,139,2021,1260,71,37,9,Georgia Tech,ACC,17,9,17.5,113.7,22,96.2,68,67.3,223,-0.005,193,12.7,61,108.7,65,96,58,-0.96,233,2021,1210,60
72,13,North Texas,CUSA,18,10,11.76,106.7,101,95,48,62.7,350,-0.018,222,6.35,109,105,126,98.6,111,6.16,113,2021,1317,78,25,4,Purdue,B10,18,10,20.33,113.3,26,92.9,34,66.1,278,0.01,148,16.61,17,111.2,16,94.6,22,5.71,122,2021,1345,69
33,4,Oklahoma St.,B12,21,9,18.95,109.6,60,90.7,17,72.4,24,0.038,90,15.52,27,111.1,18,95.6,47,5.81,121,2021,1329,69,98,13,Liberty,ASun,23,6,8.6,109.8,58,101.2,153,63.1,347,-0.023,231,-4.82,287,99.5,283,104.3,272,1.58,195,2021,1251,60
