Team 1 Rank,Team 1 Tournament Rank,Team 1 Team Name,Team 1 Conference,Team 1 Wins,Team 1 Losses,Team 1 AdjEM,Team 1 AdjO,Team 1 AdjO Rank,Team 1 AdjD,Team 1 AdjD Rank,Team 1 AdjT,Team 1 AdjT Rank,Team 1 Luck,Team 1 Luck Rank,Team 1 SS AdjEM,Team 1 SS AdjEM Rank,Team 1 SS OppO,Team 1 SS OppO Rank,Team 1 SS OppD,Team 1 SS OppD Rank,Team 1 NCSOS AdjEM,Team 1 NCSOS AdjEM Rank,Team 1 Year,Team 1 ID,Team 1 Score,Team 2 Rank,Team 2 Tournament Rank,Team 2 Team Name,Team 2 Conference,Team 2 Wins,Team 2 Losses,Team 2 AdjEM,Team 2 AdjO,Team 2 AdjO Rank,Team 2 AdjD,Team 2 AdjD Rank,Team 2 AdjT,Team 2 AdjT Rank,Team 2 Luck,Team 2 Luck Rank,Team 2 SS AdjEM,Team 2 SS AdjEM Rank,Team 2 SS OppO,Team 2 SS OppO Rank,Team 2 SS OppD,Team 2 SS OppD Rank,Team 2 NCSOS AdjEM,Team 2 NCSOS AdjEM Rank,Team 2 Year,Team 2 ID,Team 2 Score
181,16,Albany,AE,19,15,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,2014,1107,71,209,16,Mount St. Mary's,NEC,16,17,-3.96,107.8,127,111.7,292,68.2,39,0.031,110,-4.27,245,102.7,272,107,242,3.09,75,2014,1291,64
62,12,N.C. State,ACC,22,14,11.6,114,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,2014,1301,74,52,12,Xavier,BE,21,13,13.11,112.9,46,99.8,76,64.2,202,0.017,139,7.89,37,109.1,38,101.2,44,0.41,149,2014,1462,59
176,16,Cal Poly,BW,14,20,-0.82,103.6,202,104.4,159,58.8,347,-0.044,276,2.38,111,107.4,89,105,158,10.19,9,2014,1142,81,259,16,Texas Southern,SWAC,19,15,-7.49,106.7,142,114.1,326,65.7,120,-0.004,196,-11.11,349,97.6,350,108.8,300,2.72,85,2014,1411,69
10,11,Tennessee,SEC,24,13,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,2014,1397,78,22,11,Iowa,B10,20,13,20.44,120.2,5,99.8,77,68.6,29,-0.116,347,8.35,32,108.6,55,100.2,10,-6.19,318,2014,1234,65
15,7,Connecticut,Amer,32,8,22.13,113.6,39,91.5,10,63.2,254,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,2014,1163,89,55,10,Saint Joseph's,A10,24,10,12.93,112.3,57,99.4,68,64.3,198,0.079,25,6.18,64,107.5,85,101.3,45,0.17,156,2014,1386,81
42,11,Dayton,A10,26,11,14.25,113.8,37,99.6,72,63.8,223,0.038,93,6.25,63,107.7,79,101.4,51,-0.57,178,2014,1173,60,19,6,Ohio St.,B10,25,10,21.3,109.3,103,88,2,64,218,-0.043,275,7.8,39,109.2,36,101.4,50,-3.36,267,2014,1326,59
3,1,Florida,SEC,36,3,28.57,116.5,19,88,3,61.3,318,0.053,68,9.02,22,109.4,32,100.4,14,2.39,94,2014,1196,67,181,16,Albany,AE,19,15,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,2014,1107,55
32,12,Harvard,Ivy,27,5,17.58,112.9,47,95.3,27,64.1,211,0.02,131,0.13,146,104.5,170,104.3,125,0.98,130,2014,1217,61,27,5,Cincinnati,Amer,27,7,19.24,109.7,98,90.4,9,61.1,328,0.036,97,4.72,92,107.3,93,102.6,88,-4.57,294,2014,1153,57
1,4,Louisville,Amer,31,6,30.41,118.9,7,88.5,5,67.2,60,-0.045,278,4.31,95,107,100,102.7,93,-4.65,295,2014,1257,71,74,13,Manhattan,MAAC,25,8,10.21,107.2,134,97,46,67.7,46,-0.008,202,-0.2,152,105.6,128,105.8,191,3.46,65,2014,1264,64
12,2,Michigan,B10,28,9,23.44,123.9,3,100.5,89,61,330,0.047,76,11.65,2,110.3,12,98.6,1,0.62,142,2014,1276,57,192,15,Wofford,SC,20,13,-1.94,100.6,252,102.6,125,60.5,337,0.025,125,-5.87,287,103.5,224,109.3,320,7.63,22,2014,1459,40
9,4,Michigan St.,B10,29,9,23.92,118.6,13,94.7,21,64.4,188,-0.003,192,10.44,6,110.2,15,99.7,5,0.57,144,2014,1277,93,106,13,Delaware,CAA,25,10,5.83,112,60,106.2,192,70.4,10,0.064,41,-0.68,163,105.2,146,105.9,199,2.88,80,2014,1174,78
61,12,North Dakota St.,Sum,26,7,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,2014,1295,80,30,5,Oklahoma,B12,23,10,17.9,117.9,16,100,82,69.6,17,-0.022,232,9.13,20,110.2,16,101,38,0.5,147,2014,1328,75
28,7,Oregon,P12,24,10,19.02,118.9,8,99.9,79,67.5,50,-0.037,262,7.39,50,109.1,37,101.8,62,-1.18,197,2014,1332,87,49,10,BYU,WCC,23,12,13.77,114.5,31,100.7,93,70.8,6,-0.004,194,6.59,60,109.6,26,103,98,8.43,17,2014,1140,68
16,9,Pittsburgh,ACC,26,10,21.89,116.9,18,95,25,62.2,295,-0.038,264,7.62,44,108,69,100.4,13,-3.66,275,2014,1338,77,67,8,Colorado,P12,23,12,11.2,107.7,129,96.5,42,64.8,167,0.12,3,8.74,26,109.5,27,100.8,26,1.71,110,2014,1160,48
23,4,San Diego St.,MWC,31,5,20.38,110.4,86,90,7,62.3,294,0.067,37,5.18,79,108,68,102.8,96,2.71,86,2014,1361,73,72,13,New Mexico St.,WAC,26,10,10.54,112.9,45,102.4,117,65.2,148,-0.03,246,-3.64,234,103,258,106.7,225,2.6,88,2014,1308,69
35,5,Saint Louis,A10,27,7,15.72,105.7,168,90,8,65.6,124,0.04,88,5.04,85,107.2,96,102.2,75,-1.5,206,2014,1387,83,62,12,N.C. State,ACC,22,14,11.6,114,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,2014,1301,80
18,3,Syracuse,ACC,28,6,21.62,114.6,28,93,13,59.6,344,0.016,141,7.23,55,109.4,33,102.2,74,-1.01,189,2014,1393,77,131,14,Western Michigan,MAC,23,10,3.36,106.3,152,103,130,65.2,151,0.098,10,-1.86,188,103.9,202,105.7,187,-3.25,261,2014,1444,53
41,7,Texas,B12,24,11,14.52,111.8,61,97.3,53,66.8,70,0.092,14,9.61,10,110.9,4,101.3,46,-1.74,213,2014,1400,87,39,10,Arizona St.,P12,21,12,14.82,111.2,67,96.4,41,67.4,58,0.003,180,7.5,47,108.6,53,101.1,41,-2.6,234,2014,1113,85
