Team 1 Rank,Team 1 Tournament Rank,Team 1 Team Name,Team 1 Conference,Team 1 Wins,Team 1 Losses,Team 1 AdjEM,Team 1 AdjO,Team 1 AdjO Rank,Team 1 AdjD,Team 1 AdjD Rank,Team 1 AdjT,Team 1 AdjT Rank,Team 1 Luck,Team 1 Luck Rank,Team 1 SS AdjEM,Team 1 SS AdjEM Rank,Team 1 SS OppO,Team 1 SS OppO Rank,Team 1 SS OppD,Team 1 SS OppD Rank,Team 1 NCSOS AdjEM,Team 1 NCSOS AdjEM Rank,Team 1 Year,Team 1 ID,Team 1 Score,Team 2 Rank,Team 2 Tournament Rank,Team 2 Team Name,Team 2 Conference,Team 2 Wins,Team 2 Losses,Team 2 AdjEM,Team 2 AdjO,Team 2 AdjO Rank,Team 2 AdjD,Team 2 AdjD Rank,Team 2 AdjT,Team 2 AdjT Rank,Team 2 Luck,Team 2 Luck Rank,Team 2 SS AdjEM,Team 2 SS AdjEM Rank,Team 2 SS OppO,Team 2 SS OppO Rank,Team 2 SS OppD,Team 2 SS OppD Rank,Team 2 NCSOS AdjEM,Team 2 NCSOS AdjEM Rank,Team 2 Year,Team 2 ID,Team 2 Score
256,16,Florida A&M,MEAC,15,17,-9.35,98.9,239,108.3,257,70.9,15,0.005,156,-9.84,306,96.9,305,106.7,293,1.67,120,2004,1197,72,240,16,Lehigh,Pat,20,11,-7.01,97.7,259,104.7,185,63.4,257,0.055,46,-11.5,314,95.4,316,106.9,298,-9.88,316,2004,1250,57
29,8,Alabama,SEC,20,13,16.5,114.7,17,98.2,67,64.7,207,0.004,161,11.2,8,109.1,12,97.9,7,6.59,29,2004,1104,65,42,9,Southern Illinois,MVC,25,5,14.33,109.1,70,94.8,29,65.2,188,0.046,62,2.54,113,105.1,107,102.5,134,2.25,103,2004,1356,64
2,2,Connecticut,BE,33,6,28.3,117.8,9,89.5,6,68.2,75,0.012,140,8.93,18,107.7,27,98.8,14,-2.05,216,2004,1163,70,172,15,Vermont,AE,22,9,-1.37,101,199,102.4,154,63.9,239,0.113,4,-8.08,284,97.4,295,105.5,244,-2.5,229,2004,1436,53
58,7,DePaul,CUSA,22,10,11.36,113,33,101.6,132,63.2,267,0.091,17,5.83,62,106.4,64,100.6,71,-0.62,180,2004,1177,76,74,10,Dayton,A10,24,9,9.75,108.1,80,98.4,71,62.2,289,0.084,23,3.26,106,105.6,91,102.3,124,-1.55,205,2004,1173,69
1,1,Duke,ACC,31,6,32.33,120.8,2,88.5,3,67.7,94,-0.028,232,12.59,7,109.5,7,96.9,4,2.42,94,2004,1181,96,266,16,Alabama St.,SWAC,16,15,-10.72,93.8,295,104.5,180,61.4,304,0.023,108,-12.06,320,94.6,320,106.7,292,0.53,148,2004,1106,61
7,2,Gonzaga,WCC,28,3,25.34,120.8,3,95.5,36,66.6,128,0.013,136,3.28,105,105.5,94,102.2,116,7,23,2004,1211,76,152,15,Valparaiso,MCon,18,13,0.53,100.1,212,99.6,96,69.2,47,0.068,33,-1.31,189,104.7,118,106,267,0.85,139,2004,1434,49
48,12,Manhattan,MAAC,25,6,13.38,109.1,71,95.7,38,65,194,0.012,139,-1.77,193,103.2,177,105,220,1.31,130,2004,1264,75,25,5,Florida,SEC,20,11,18.26,116.9,12,98.6,78,65.9,162,-0.023,222,9.6,13,107.9,24,98.3,11,0.08,163,2004,1196,60
22,4,Maryland,ACC,20,12,19.81,110.9,52,91.1,10,71.1,12,-0.009,189,14.09,1,112.1,1,98,8,-1.13,192,2004,1268,86,41,13,UTEP,WAC,24,8,14.69,112.5,36,97.8,61,68.2,76,0.046,61,4.31,92,104.2,133,99.9,38,-6.38,284,2004,1431,83
20,10,Nevada,WAC,25,9,20.27,112.3,39,92,15,68.7,58,-0.039,251,7.09,38,107.6,32,100.5,66,4.97,48,2004,1305,72,34,7,Michigan St.,B10,18,12,15.66,117.2,11,101.5,129,64,232,-0.014,198,8.92,19,107.1,39,98.2,10,7.6,19,2004,1277,66
11,6,North Carolina,ACC,19,11,23.23,117.4,10,94.1,23,70.9,16,-0.091,311,13.85,2,110.2,4,96.4,2,2.76,79,2004,1314,63,36,11,Air Force,MWC,22,7,15.42,111.4,47,96,43,51.9,326,0.025,101,0.58,143,103.3,170,102.8,138,-10.49,318,2004,1102,52
27,8,Seton Hall,BE,21,10,17.35,112.3,37,95,31,65.4,180,-0.004,178,7.85,29,107.2,36,99.4,23,-1.14,193,2004,1371,80,32,9,Arizona,P10,20,10,16.18,118.5,7,102.3,151,73,6,-0.072,296,5.72,63,106.7,55,101,80,4.6,53,2004,1112,76
3,1,Saint Joseph's,A10,30,2,27.66,118.9,5,91.2,12,66.1,148,0.06,42,6.99,40,107.1,38,100.1,43,8.86,10,2004,1386,82,181,16,Liberty,BSth,18,15,-2.5,98.3,248,100.8,116,67.5,101,0,171,-5.73,254,100.5,248,106.2,279,5.71,40,2004,1251,63
12,1,Stanford,P10,30,2,22.52,111.9,42,89.3,5,64.5,212,0.051,56,3.76,99,105.9,78,102.2,117,-1.79,209,2004,1390,71,248,16,UTSA,Slnd,19,14,-7.69,98,253,105.7,201,68.7,61,0.103,8,-7.71,276,99.1,267,106.8,295,-5.14,268,2004,1427,45
30,5,Syracuse,BE,23,8,16.34,113.1,31,96.7,50,65.7,169,0.086,19,7.88,27,107.4,34,99.6,27,-4.61,261,2004,1393,80,35,12,BYU,MWC,21,9,15.64,113,32,97.4,59,65.9,160,0.02,116,7.13,37,108.1,19,101,78,6.41,32,2004,1140,75
17,3,Texas,B12,25,8,21.54,115.6,16,94.1,22,64.7,206,0.038,72,9.27,14,109.1,11,99.8,35,0.8,143,2004,1400,66,108,14,Princeton,Ivy,20,8,4.86,106.3,106,101.4,127,56.4,325,0.033,85,-4.32,240,100.2,254,104.6,200,-0.07,166,2004,1343,49
28,8,Texas Tech,B12,23,11,17.11,111.4,46,94.3,24,66.7,126,0.01,143,8.29,24,108.4,15,100.1,47,2.29,97,2004,1403,76,43,9,Charlotte,CUSA,21,9,14.25,112.7,34,98.5,73,69.7,33,0.015,131,5.72,64,105,109,99.3,22,2.66,83,2004,1150,73
15,4,Wake Forest,ACC,21,10,21.69,121.6,1,99.9,102,70.4,23,-0.019,216,13.52,4,109.6,5,96.1,1,1.79,116,2004,1448,79,81,13,VCU,CAA,23,8,9.09,105.6,115,96.5,48,64.4,216,0.076,25,-0.29,163,102.3,208,102.6,135,0.29,156,2004,1433,78
